age,gender,location,education_level,internet_access,income_decile,current_sector,current_skills,target_job_role,predicted_skill_gap,recommended_training
40,Female,Rural,Secondary,Yes,2,Finance,"Communication, Typing, Bookkeeping, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
47,Female,Semi-Urban,Primary,Yes,7,Services,"Communication, Excel, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
52,Female,Semi-Urban,Vocational,No,10,Administration,"MS Office, Typing, Email Etiquette, Excel, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
32,Female,Rural,Graduate,Yes,1,Services,"Communication, Typing, MS Office",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
40,Male,Semi-Urban,Graduate,Yes,4,Retail,"Sales, Communication, Typing, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
40,Male,Urban,Primary,No,8,Services,"Communication, Customer Handling, MS Office, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
49,Male,Semi-Urban,Graduate,Yes,10,Administration,"Communication, MS Office, Typing, Email Etiquette, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
47,Male,Semi-Urban,Vocational,Yes,1,Agriculture,"Communication, Farming, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
29,Female,Urban,Graduate,Yes,10,Administration,"MS Office, Excel, Typing",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
41,Female,Rural,Vocational,Yes,3,Retail,"Communication, Leadership, Typing, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
48,Male,Urban,Vocational,Yes,9,Agriculture,"Livestock Care, Farming, Irrigation, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
31,Female,Rural,Primary,Yes,6,IT,"Communication, Git, Basic Coding, JavaScript, React, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
36,Female,Rural,Vocational,No,8,Agriculture,"Livestock Care, Communication, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
44,Female,Urban,Primary,Yes,4,Retail,"Sales, Communication, Typing, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
55,Female,Rural,Secondary,Yes,1,Retail,"Communication, Excel, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
24,Male,Rural,Primary,Yes,7,Construction,"Heavy Lifting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
37,Male,Urban,Graduate,Yes,3,Finance,Excel,Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
48,Female,Semi-Urban,Graduate,Yes,3,Retail,"Sales, Excel, Inventory Basics, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
46,Female,Rural,Vocational,Yes,5,Construction,"Construction Safety, Communication, Heavy Lifting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
48,Female,Urban,Vocational,No,10,Retail,"Sales, Communication, Team Management, Leadership",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
42,Female,Urban,Graduate,Yes,4,Agriculture,"Livestock Care, Farming, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
25,Female,Semi-Urban,Vocational,Yes,10,Administration,"Typing, Excel",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
24,Female,Rural,Secondary,Yes,1,Agriculture,Farming,Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
44,Female,Rural,Graduate,Yes,1,Retail,"Sales, Communication, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
34,Female,Urban,Primary,No,4,Services,"Communication, Typing, Customer Handling, Email Etiquette, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
48,Female,Semi-Urban,Graduate,No,3,Services,"Communication, Customer Handling, MS Office, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
31,Male,Urban,Vocational,Yes,3,IT,"Communication, Git, Basic Coding, Typing, JavaScript, Basic Python, React, HTML, Excel",Web Developer,"JavaScript, React, Git",Frontend Development Program
28,Female,Urban,Graduate,No,1,Services,"Typing, Excel, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
53,Female,Rural,Secondary,Yes,7,Retail,"Sales, Communication, Inventory Basics",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
30,Male,Semi-Urban,Graduate,Yes,8,Retail,"Sales, Team Management, Communication, Inventory Management, Leadership",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
18,Female,Semi-Urban,Secondary,No,10,Retail,"Sales, Leadership, Inventory Management, Communication",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
53,Male,Semi-Urban,Graduate,Yes,6,Retail,"Sales, Leadership, Communication",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
30,Male,Rural,Secondary,Yes,10,IT,"Basic Coding, Basic Python, React, HTML, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
31,Female,Urban,Vocational,No,1,IT,"Communication, Git, Basic Coding, Typing, JavaScript, Basic Python, React, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
31,Male,Urban,Secondary,Yes,4,Construction,"Communication, Heavy Lifting, Construction Safety, Plumbing, Pipe Fitting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
24,Male,Urban,Vocational,Yes,3,Finance,"Communication, Tax Basics, Typing, Excel, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
33,Male,Rural,Graduate,Yes,8,Retail,"Sales, Communication, Leadership, Typing, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
18,Female,Urban,Secondary,No,1,Administration,"Typing, Excel, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
41,Male,Urban,Graduate,No,2,Administration,"MS Office, Typing, Excel, Communication",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
37,Male,Semi-Urban,Vocational,Yes,1,Construction,"Tool Repair, Heavy Lifting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
42,Male,Rural,Primary,Yes,10,IT,"Communication, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
46,Male,Urban,Vocational,Yes,7,Finance,"Bookkeeping, Excel, Typing",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
23,Female,Semi-Urban,Vocational,No,3,Administration,"Data Entry, Communication, Excel, MS Office",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
33,Male,Rural,Vocational,Yes,10,Services,"Communication, Excel, MS Office, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
19,Female,Urban,Graduate,Yes,8,Retail,Sales,Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
27,Male,Urban,Primary,Yes,10,Retail,"Sales, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
19,Female,Urban,Secondary,Yes,9,Retail,"Sales, Communication, Team Management, Inventory Management, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
30,Female,Urban,Vocational,Yes,1,Administration,"MS Office, Excel, Communication",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
42,Male,Rural,Vocational,No,9,Services,"Communication, Customer Handling, Excel, MS Office",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
49,Female,Semi-Urban,Secondary,Yes,6,Retail,"Sales, Communication, Leadership, Typing, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
53,Female,Urban,Secondary,Yes,7,IT,"Basic Coding, React, HTML, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
39,Female,Semi-Urban,Secondary,Yes,3,Administration,"Communication, Typing, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
38,Male,Semi-Urban,Primary,Yes,3,Agriculture,"Livestock Care, Basic Math, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
27,Male,Urban,Secondary,Yes,10,Administration,"Communication, Typing, Email Etiquette, Excel, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
50,Female,Semi-Urban,Graduate,Yes,7,Agriculture,"Livestock Care, Farming",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
18,Female,Rural,Secondary,Yes,4,Finance,"Tax Basics, Excel",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
33,Female,Rural,Primary,Yes,7,Retail,"Sales, Communication, Inventory Management, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
51,Female,Semi-Urban,Primary,Yes,9,Services,"Communication, MS Office, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
47,Male,Rural,Graduate,Yes,1,Administration,"Communication, MS Office, Email Etiquette, Excel, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
43,Female,Rural,Vocational,Yes,8,Agriculture,"Livestock Care, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
25,Male,Urban,Vocational,Yes,2,Agriculture,"Livestock Care, Farming, Basic Math, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
28,Male,Urban,Primary,Yes,5,Agriculture,"Livestock Care, Farming",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
34,Male,Rural,Vocational,No,9,IT,"Communication, Git, Basic Coding, Typing, JavaScript, React, Excel",Web Developer,"JavaScript, React, Git",Frontend Development Program
33,Female,Semi-Urban,Secondary,Yes,3,IT,"Basic Coding, Typing, Communication",Web Developer,"JavaScript, React, Git",Frontend Development Program
39,Male,Urban,Primary,Yes,3,Administration,"Communication, MS Office, Basic Math, Email Etiquette, Excel, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
42,Male,Rural,Primary,Yes,3,Retail,"Sales, Leadership, Excel, Inventory Basics",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
54,Male,Rural,Graduate,Yes,6,Construction,"Communication, Tool Repair, Heavy Lifting, Plumbing, Pipe Fitting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
36,Male,Urban,Primary,Yes,2,Services,"MS Office, Typing, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
18,Male,Semi-Urban,Graduate,Yes,2,Services,"Communication, Typing",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
43,Male,Urban,Secondary,Yes,6,Retail,"Sales, Communication, Typing, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
47,Female,Semi-Urban,Primary,No,5,Retail,"Sales, Communication, Excel, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
19,Female,Rural,Secondary,Yes,7,Administration,"MS Office, Typing, Data Entry, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
33,Female,Rural,Graduate,Yes,5,Retail,"Sales, Leadership",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
50,Male,Rural,Secondary,Yes,8,Retail,"Sales, Team Management, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
42,Male,Urban,Graduate,No,10,Retail,"Leadership, Inventory Management",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
19,Female,Semi-Urban,Secondary,Yes,4,Administration,"Communication, Excel, Data Entry, Typing",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
18,Male,Urban,Graduate,Yes,5,Construction,"Communication, Tool Repair, Heavy Lifting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
52,Female,Urban,Secondary,Yes,1,Retail,Sales,Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
55,Female,Semi-Urban,Graduate,Yes,4,Agriculture,"Livestock Care, Communication, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
48,Male,Urban,Secondary,No,10,Retail,"Sales, Team Management, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
22,Female,Urban,Graduate,Yes,3,IT,"Git, JavaScript, React, HTML, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
43,Female,Urban,Secondary,Yes,8,Retail,"Sales, Team Management, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
52,Male,Urban,Primary,Yes,10,Retail,"Sales, Communication, Typing, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
22,Male,Semi-Urban,Vocational,Yes,1,Finance,"Bookkeeping, Excel, Tax Basics",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
52,Female,Rural,Vocational,Yes,6,Retail,"Sales, Communication, Team Management, Inventory Management, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
21,Female,Semi-Urban,Primary,Yes,9,Administration,"Typing, Excel",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
38,Female,Rural,Vocational,Yes,4,Finance,Accounting,Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
44,Male,Rural,Secondary,Yes,2,Retail,"Communication, Excel, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
45,Male,Rural,Vocational,Yes,8,Retail,"Sales, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
50,Female,Rural,Graduate,Yes,1,Services,"Communication, Typing, Excel, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
47,Male,Semi-Urban,Primary,Yes,2,Administration,"Communication, MS Office, Typing, Email Etiquette, Excel",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
44,Female,Rural,Graduate,Yes,10,Retail,"Sales, Communication, Leadership, Typing, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
36,Female,Urban,Secondary,Yes,5,IT,"HTML, Excel, CSS, Communication",Web Developer,"JavaScript, React, Git",Frontend Development Program
46,Female,Urban,Graduate,No,4,Agriculture,"Livestock Care, Farming, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
49,Female,Rural,Secondary,Yes,3,Agriculture,"Livestock Care, Irrigation, MS Office, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
37,Female,Semi-Urban,Secondary,Yes,7,Retail,"Sales, Communication, Team Management, Inventory Management, Leadership",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
51,Male,Urban,Graduate,No,7,Retail,"Sales, Communication, Typing, Inventory Basics",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
55,Male,Semi-Urban,Graduate,Yes,3,Services,"Communication, Typing",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
46,Female,Urban,Graduate,Yes,1,Construction,"Pipe Fitting, Construction Safety, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
23,Male,Rural,Secondary,No,3,Construction,"Communication, Tool Repair, Heavy Lifting, Construction Safety, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
34,Male,Urban,Graduate,No,7,Retail,"Sales, Communication, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
30,Female,Urban,Vocational,Yes,9,Retail,"Sales, Communication, Typing, Inventory Management",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
46,Male,Rural,Secondary,Yes,1,Administration,"Communication, Excel, Data Entry, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
48,Female,Rural,Primary,Yes,1,Retail,"Sales, Communication, Team Management, Inventory Management, Leadership, Typing, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
52,Female,Urban,Vocational,No,5,Retail,"Communication, Leadership, Typing, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
40,Female,Urban,Vocational,Yes,3,Construction,"Pipe Fitting, Construction Safety, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
49,Female,Urban,Primary,Yes,6,Administration,Excel,Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
52,Male,Semi-Urban,Secondary,No,1,Retail,"Team Management, Communication, Inventory Management, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
18,Male,Semi-Urban,Primary,No,2,Agriculture,"Livestock Care, Farming",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
22,Male,Rural,Graduate,No,7,Services,"Communication, Typing, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
22,Male,Rural,Secondary,No,3,Retail,"Sales, Communication, Inventory Basics, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
19,Female,Urban,Primary,Yes,2,Agriculture,"Livestock Care, Farming, Basic Math, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
44,Male,Urban,Primary,Yes,8,Retail,"Communication, Inventory Management",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
25,Male,Semi-Urban,Graduate,No,9,Services,"Typing, Excel, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
48,Female,Urban,Secondary,Yes,1,Agriculture,"Livestock Care, Soil Testing, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
20,Male,Semi-Urban,Primary,No,3,Retail,"Sales, Leadership",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
55,Female,Rural,Secondary,Yes,6,Retail,"Sales, Leadership",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
30,Female,Urban,Primary,Yes,8,Finance,Accounting,Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
29,Female,Rural,Secondary,Yes,4,Retail,"Sales, Leadership, Inventory Management",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
35,Male,Urban,Vocational,Yes,3,IT,"Git, Typing, JavaScript, Basic Python, React, HTML, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
31,Female,Rural,Graduate,Yes,7,Retail,"Sales, Communication, Team Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
44,Male,Urban,Vocational,Yes,9,IT,"Communication, Typing, JavaScript, Basic Python, React, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
31,Male,Rural,Graduate,Yes,2,Finance,"Communication, Tax Basics, Typing, Bookkeeping, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
26,Female,Urban,Graduate,Yes,1,Retail,"Leadership, Communication, Team Management, Inventory Management",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
23,Female,Semi-Urban,Primary,Yes,6,Services,"Communication, Customer Handling, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
53,Male,Semi-Urban,Secondary,Yes,6,Agriculture,"Communication, Farming, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
50,Female,Rural,Primary,Yes,6,Administration,"Email Etiquette, MS Office, Excel, Typing",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
30,Female,Urban,Primary,Yes,3,Construction,"Pipe Fitting, Tool Repair, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
27,Male,Semi-Urban,Primary,Yes,9,Retail,"Communication, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
19,Male,Semi-Urban,Graduate,Yes,6,Construction,"Communication, Tool Repair, Plumbing, Construction Safety, Pipe Fitting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
32,Female,Rural,Graduate,No,1,Administration,"MS Office, Excel",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
52,Female,Urban,Secondary,No,3,Agriculture,Farming,Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
46,Female,Rural,Secondary,Yes,1,Agriculture,"Livestock Care, Farming, Basic Math, Soil Testing, Excel, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
27,Female,Rural,Secondary,Yes,9,Retail,"Sales, Team Management, Inventory Management, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
20,Male,Semi-Urban,Primary,Yes,7,Retail,"Leadership, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
55,Male,Rural,Secondary,Yes,9,Services,"Communication, Typing, MS Office",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
41,Female,Urban,Vocational,Yes,6,IT,"Git, Typing, JavaScript, React, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
46,Female,Urban,Vocational,Yes,7,Finance,Excel,Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
22,Female,Urban,Primary,Yes,5,Retail,"Sales, Communication, Typing, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
53,Female,Urban,Graduate,No,5,Administration,"Excel, Typing",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
48,Male,Semi-Urban,Graduate,Yes,8,Administration,"Typing, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
41,Female,Semi-Urban,Vocational,No,8,Construction,"Communication, Tool Repair, Heavy Lifting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
38,Female,Semi-Urban,Secondary,Yes,1,Agriculture,"Livestock Care, Communication, Farming, Basic Math, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
50,Male,Semi-Urban,Secondary,No,10,Construction,"Construction Safety, Communication, Excel, Tool Repair",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
18,Male,Semi-Urban,Graduate,Yes,8,Agriculture,"Livestock Care, Farming",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
30,Male,Rural,Vocational,No,2,Services,"Communication, MS Office, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
37,Male,Semi-Urban,Primary,Yes,3,Agriculture,"Livestock Care, Excel",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
22,Male,Rural,Vocational,Yes,2,Construction,"Pipe Fitting, Typing, Heavy Lifting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
25,Male,Semi-Urban,Secondary,Yes,6,Construction,"Construction Safety, Pipe Fitting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
50,Male,Urban,Primary,Yes,4,Services,"Communication, MS Office, Typing, Customer Handling, Email Etiquette, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
46,Male,Urban,Graduate,No,7,Agriculture,"Communication, Farming, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
49,Female,Semi-Urban,Graduate,Yes,1,Agriculture,"Livestock Care, Soil Testing, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
46,Male,Semi-Urban,Vocational,Yes,7,Administration,"MS Office, Typing, Communication",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
43,Female,Semi-Urban,Primary,Yes,7,Construction,"Pipe Fitting, Tool Repair, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
25,Male,Rural,Vocational,Yes,10,Finance,"Communication, Excel, Tax Basics, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
34,Female,Rural,Secondary,Yes,3,Construction,"Pipe Fitting, Communication, Heavy Lifting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
38,Male,Rural,Primary,No,9,Finance,"Communication, Excel, Tax Basics, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
20,Female,Urban,Vocational,Yes,7,IT,"HTML, CSS, Basic Python",Web Developer,"JavaScript, React, Git",Frontend Development Program
49,Female,Urban,Graduate,Yes,8,Agriculture,"Livestock Care, Communication, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
55,Female,Semi-Urban,Graduate,No,5,Retail,"Sales, Team Management, Communication, Inventory Management, Leadership",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
39,Female,Urban,Vocational,Yes,6,IT,"HTML, CSS, Basic Python, Communication",Web Developer,"JavaScript, React, Git",Frontend Development Program
37,Male,Rural,Secondary,Yes,6,Construction,"Pipe Fitting, Communication, Tool Repair, Heavy Lifting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
38,Female,Semi-Urban,Vocational,Yes,2,IT,"Basic Coding, Typing, Basic Python, HTML, Excel",Web Developer,"JavaScript, React, Git",Frontend Development Program
30,Female,Semi-Urban,Primary,No,9,Finance,"Tax Basics, Typing, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
55,Male,Semi-Urban,Graduate,Yes,10,Construction,"Tool Repair, Heavy Lifting, Construction Safety, Plumbing, Pipe Fitting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
30,Female,Rural,Graduate,Yes,8,Retail,"Communication, Typing, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
35,Female,Semi-Urban,Primary,Yes,6,Retail,"Sales, Team Management, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
31,Female,Rural,Graduate,Yes,5,Construction,"Communication, Tool Repair",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
47,Female,Semi-Urban,Vocational,Yes,1,Administration,"Communication, Typing",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
53,Male,Semi-Urban,Primary,No,8,Administration,"Typing, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
41,Male,Rural,Secondary,Yes,10,Finance,"Typing, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
39,Female,Semi-Urban,Secondary,No,4,Retail,Communication,Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
44,Female,Semi-Urban,Primary,Yes,6,Retail,"Team Management, Communication, Inventory Management, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
41,Female,Semi-Urban,Graduate,No,1,Agriculture,"Communication, Farming, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
